,Brand,Model Name,Display Size,Operating System,Picture Quality,Smart Tv,Sound Technology,Refresh Rate,Screen Type,Connectivity,Price
320,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
321,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
322,CANDY,CA32C9G,80 cm (32 inch),Android Based,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹10,990"
323,Mi,L55M6-ES,138.8 cm (55 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos + DTS-HD,60 Hz,LED,3 HDMI | 2 USB,"₹46,999"
324,SAMSUNG,UA65NU7470UXXL / UA65NU7470ULXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,LED,3 HDMI | 2 USB,"₹1,37,999"
325,SENS,SENS43WGSFHD,109 cm (43 inch),Google TV,"Full HD, 1920 x 1080",Yes,Dolby Audio,60 Hz,LED,2 HDMI | 2 USB,"₹18,999"
326,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
327,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
328,SONY,KD-55X9000H,139 cm (55 inch),Android Based,"Ultra HD (4K), 3840 x 2160",Yes,X Balanced Speaker,100 Hz,LED,4 HDMI | 2 USB,"₹94,147"
329,Acer,AR32GR2841VQD,80 cm (32 inch),Google TV,"HD Ready, 1366 x 768",Yes,Dolby Audio,60 Hz,QLED,2 HDMI | 2 USB,"₹15,999"
330,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
331,KODAK,75MT5044,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹98,888"
332,SAMSUNG,QA65Q80BAKLXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 HDMI | 2 USB,"₹1,39,990"
333,SAMSUNG,QA65QN85CAKLXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QLED,4 HDMI | 2 USB,"₹1,69,990"
334,SAMSUNG,UA55AU8000,138 mm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹51,990"
335,SAMSUNG,65MU6470,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"DTS Codec, Dolby Digital Plus",100 Hz,LED,3 Rear HDMI | 2 Rear USB,"₹2,91,900"
336,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
337,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
338,LG,55QNED80SRA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QNED,4 HDMI | 2 USB,"₹77,990"
339,SONY,KD-32W830K,80 cm (32 inch),Google TV,"HD Ready, 1366 x 768",Yes,"Clear Phase, S-Master Digital Amplifier, Dolby Audio",60 Hz,LED,3 HDMI | 2 USB,"₹26,900"
340,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
341,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
342,SAMSUNG,UA75NU8000KXXL,189 cm (75 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,200 Hz,LED,4 HDMI | 2 USB,"₹2,97,999"
343,LG,75QNED80SRA,189 cm (75 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QNED,4 HDMI | 2 USB,"₹3,13,990"
344,Compaq,CQ40APFD,100 cm (40 inch),Android,"Full HD, 1920 x 1080",Yes,"Dolby Audio, Mimi Sound Personalisation, Pure Sound",60 Hz,LED,3 Rear HDMI | 2 (Rear) USB,"₹34,999"
345,BPL,43F-A4301,109 cm (43 inch),Android,"Full HD, 1920 x 1080",Yes,Dolby Audio,60 Hz,LED,2 HDMI | 2 USB,"₹22,378"
346,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
347,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
348,SONY,KD-65A9F,164 cm (65 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital, Dolby Digital Plus, Dolby Pulse, DTS Digital Surround",100 Hz,OLED,4 HDMI | 3 USB,"₹4,67,999"
349,TCL,65P635 Pro,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹55,990"
350,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
351,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
352,SAMSUNG,Qa65q60rakxxl,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,200 Hz,QLED,4 HDMI | 2 USB,"₹1,24,076"
353,SAMSUNG,QA65QN800CKXXL,163 cm (65 inch),Tizen,"Ultra HD (8K), 7680 x 4320",Yes,NA,100 Hz,QLED,4 HDMI | 3 USB,"₹2,99,990"
354,TCL,50P635 Pro,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹33,999"
355,SAMSUNG,UA65BU8570ULXL,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",50 Hz,LED,3 HDMI | 2 USB,"₹84,990"
356,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
357,SAMSUNG,QA50LS03AAKLXL,125 cm (50 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,4 HDMI | 2 USB,"₹75,990"
358,Mi,L55M5-5XIN,138.8 cm (55 inch),Android Based,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Audio, DTS-HD",60 Hz,LED,3 HDMI | 2 USB,"₹46,290"
359,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
360,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
361,SAMSUNG,UA65AU8000,163 cm (65 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹69,990"
362,BeethoSOL,LEDSTVBG3284HD27-DN,80 cm (32 inch),Android Based,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,1 (Rear) HDMI | 2 USB,"₹8,149"
363,Mi,L32M6-EI,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,DTS-HD,60 Hz,LED,3 HDMI | 2 USB,"₹19,999"
364,SAMSUNG,UA55BU8000KLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,3 (Rear) HDMI | 2 (Rear) USB,"₹52,990"
365,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
366,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
367,realme,RMV2001 SLED TV 55,139 cm (55 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 Rear HDMI | 2 USB,"₹48,225"
368,Thomson,50OPMAXGT9020,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 (Rear) HDMI | 2 (Rear) USB,"₹26,999"
369,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
